author1_fname,author1_lname,author1_institution,author2_fname,author2_lname,author2_institution,author3_fname,author3_lname,author3_institution,author4_fname,author4_lname,author4_institution,author5_fname,author5_lname,author5_institution,author6_fname,author6_lname,author6_institution,author7_fname,author7_lname,author7_institution,author8_fname,author8_lname,author8_institution,author9_fname,author9_lname,author9_institution,author10_fname,author10_lname,author10_institution,author11_fname,author11_lname,author11_institution,author12_fname,author12_lname,author12_institution,author13_fname,author13_lname,author13_institution,author14_fname,author14_lname,author14_institution,author15_fname,author15_lname,author15_institution,author16_fname,author16_lname,author16_institution,author17_fname,author17_lname,author17_institution,author18_fname,author18_lname,author18_institution,author19_fname,author19_lname,author19_institution,author20_fname,author20_lname,author20_institution,author21_fname,author21_lname,author21_institution,author22_fname,author22_lname,author22_institution,author23_fname,author23_lname,author23_institution,author24_fname,author24_lname,author24_institution,author25_fname,author25_lname,author25_institution,author26_fname,author26_lname,author26_institution,author27_fname,author27_lname,author27_institution,author28_fname,author28_lname,author28_institution,author29_fname,author29_lname,author29_institution,author30_fname,author30_lname,author30_institution
Erica,Koegler,University of Missouri-St. Louis,Kathleen M.,Preble,University of Missouri,Andrea N.,Cimino,Johns Hopkins School of Nursing,Jordan E.,Stevens,University of Missouri,Sue,Diehl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melinda M.,Gibbons,"The University of Tennessee, Knoxville",Anna Lora,Taylor,Women’s Fund of East Tennessee,Emily,Brown,University of Missouri-St. Louis,Stephanie K.,Daniels,"The University of Tennessee, Knoxville",Erin E.,Hardin,"The University of Tennessee, Knoxville",Sam,Manring,"The University of Tennessee, Knoxville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanessa,Garry,University of Missouri-St. Louis,Susan,Uchitelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beth A.,Pettitt,University of Minnesota Twin Cities,Godfrey R.,Bourne,University of Missouri-St. Louis,Mark A.,Bee,University of Minnesota Twin Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahira Hassan,Butt,National College of Business Administration and Economics,Ghulam,Abid,National College of Business Administration and Economics,Bindu,Arya,University of Missouri-St. Louis,Saira,Farooqi,Kinnaird College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yashapal,Singh,Department of Chemistry and Biochemistry,Alexei V.,Demchenko,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yashapal,Singh,Department of Chemistry and Biochemistry,Alexei V.,Demchenko,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiahao,Chen,Zhejiang Normal University,Yusong,Zhang,Zhejiang Normal University,Zhe,Lin,Zhejiang Normal University,Jianguo,Shen,Zhejiang Normal University,Thomas F.,George,Department of Chemistry and Biochemistry,Sheng,Li,Zhejiang Normal University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badri,Adhikari,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip,Chan,Thai Red Cross Agency,Orlanda,Goh,Thai Red Cross Agency,Eugène,Kroon,Thai Red Cross Agency,Donn,Colby,Thai Red Cross Agency,Carlo,Sacdalan,Thai Red Cross Agency,Suteeraporn,Pinyakorn,HJF,Peeriya,Prueksakaew,Thai Red Cross Agency,Peter,Reiss,Amsterdam UMC - University of Amsterdam,Jintanat,Ananworanich,Thai Red Cross Agency,Victor,Valcour,"University of California, San Francisco",Serena,Spudich,Yale University,Robert,Paul,Missouri Institute of Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yan,Tian,University of Missouri-St. Louis,Jina H.,Yoo,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoë D.,Peterson,Department of Psychological Sciences,Sarah K.,Buday,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changya,Hu,NCCU College of Commerce,Shihui,Zhang,NCCU College of Commerce,Ekin K.,Pellegrini,University of Missouri-St. Louis,Jui Chieh,Huang,National Taipei University of Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalie Kroovand,Hipple,Maurer School of Law,Beth M.,Huebner,University of Missouri-St. Louis,Theodore S.,Lentz,University of Missouri-St. Louis,Edmund F.,McGarrell,Michigan State University,Mallory,O'Brien,Medical College of Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyra N.,Krakos,Maryville University,Matthew W.,Austin,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy,Dombrowski,University of Missouri-St. Louis,Dimuthu,Ratnadiwakara,E. J. Ourso College of Business,V. Carlos,Slawson,E. J. Ourso College of Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George D.,Cashman,College of Business Administration,David M.,Harrison,University of Central Florida,Hainan,Sheng,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel,Wamser-Nanney,University of Missouri-St. Louis,John T.,Nanney,University of Missouri-St. Louis,Joseph I.,Constans,VA Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice E.,Hall,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil,Fraundorf,University of Missouri-St. Louis,Melanie,Lipp,Universität Stuttgart,Tristan,Hundley,University of Missouri-St. Louis,Chathuri,Silva,University of Missouri-St. Louis,Philip,Chrostoski,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruth,Iyob,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wessam,Saaed,Faculty of Science,Mohamed,Elagawany,St. Louis College of Pharmacy,Mohamed M.,Azab,Faculty of Science,Alaa S.,Amin,Faculty of Science,Nigam P.,Rath,University of Missouri-St. Louis,Lamees,Hegazy,St. Louis College of Pharmacy,Bahaa,Elgendy,Faculty of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanie M.,Merritt,University of Missouri-St. Louis,Ellen E.,Lynch,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James W.,Hesford,University of Missouri-St. Louis,Nicolas,Mangin,Rijksuniversiteit Groningen,Mina,Pizzini,McCoy College of Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camilo A.,Calderón-Acevedo,University of Missouri-St. Louis,Nathan,Muchhala,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
