author1_fname,author1_lname,author1_institution,author2_fname,author2_lname,author2_institution,author3_fname,author3_lname,author3_institution,author4_fname,author4_lname,author4_institution,author5_fname,author5_lname,author5_institution,author6_fname,author6_lname,author6_institution,author7_fname,author7_lname,author7_institution,author8_fname,author8_lname,author8_institution,author9_fname,author9_lname,author9_institution,author10_fname,author10_lname,author10_institution,author11_fname,author11_lname,author11_institution,author12_fname,author12_lname,author12_institution,author13_fname,author13_lname,author13_institution,author14_fname,author14_lname,author14_institution,author15_fname,author15_lname,author15_institution,author16_fname,author16_lname,author16_institution,author17_fname,author17_lname,author17_institution,author18_fname,author18_lname,author18_institution,author19_fname,author19_lname,author19_institution,author20_fname,author20_lname,author20_institution,author21_fname,author21_lname,author21_institution,author22_fname,author22_lname,author22_institution,author23_fname,author23_lname,author23_institution,author24_fname,author24_lname,author24_institution,author25_fname,author25_lname,author25_institution,author26_fname,author26_lname,author26_institution,author27_fname,author27_lname,author27_institution,author28_fname,author28_lname,author28_institution,author29_fname,author29_lname,author29_institution,author30_fname,author30_lname,author30_institution
Ziwen,He,Sun Yat-Sen University,Xiao,Feng,Sun Yat-Sen University,Qipian,Chen,Sun Yat-Sen University,Liangwei,Li,BGI-Shenzhen,Sen,Li,Sun Yat-Sen University,Kai,Han,BGI-Shenzhen,Zixiao,Guo,Sun Yat-Sen University,Jiayan,Wang,Sun Yat-Sen University,Min,Liu,Sun Yat-Sen University,Chengcheng,Shi,BGI-Shenzhen,Shaohua,Xu,Sun Yat-Sen University,Shao,Shao,Sun Yat-Sen University,Xin,Liu,BGI-Shenzhen,Xiaomeng,Mao,Sun Yat-Sen University,Wei,Xie,Sun Yat-Sen University,Xinfeng,Wang,Sun Yat-Sen University,Rufan,Zhang,Sun Yat-Sen University,Guohong,Li,Sun Yat-Sen University,Weihong,Wu,Sun Yat-Sen University,Zheng,Zheng,Sun Yat-Sen University,Cairong,Zhong,Hainan Academy of Forestry (Hainan Academy of Mangrove),Norman C.,Duke,James Cook University,David E.,Boufford,Harvard University,Guangyi,Fan,BGI-Shenzhen,Chung I.,Wu,Sun Yat-Sen University,Robert E.,Ricklefs,"University of Missouri-St. Louis, Department of Biology",Suhua,Shi,Sun Yat-Sen University,,,,,,,,,
Vurayai,Ruhanya,Stellenbosch University,Graeme Brendon,Jacobs,Stellenbosch University,Robert H.,Paul,University of Missouri-St. Louis,John A.,Joska,University of Cape Town,Soraya,Seedat,Stellenbosch University,George,Nyandoro,,Richard H.,Glashoff,Stellenbosch University,Susan,Engelbrecht,Stellenbosch University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey P.,Carpenter,Elon University,Shea N.,Kerkhoff,University of Missouri-St. Louis,Xiaoying,Wang,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yiwei,Xie,Fudan University,Feng,Jiao,University of Lethbridge,Shihan,Li,Fudan University,Qingfu,Liu,Fudan University,Yiuman,Tse,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikaela H.,Smith,The Ohio State University,Zoe,Muzyczka,University of Cincinnati,Payal,Chakraborty,The Ohio State University,Elaina,Johns-Wolfe,University of Missouri-St. Louis,Jenny,Higgins,University of Wisconsin-Madison,Danielle,Bessett,University of Cincinnati,Alison H.,Norris,The Ohio State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timo,Heinrich,Hamburg University of Technology,Bindu,Arya,University of Missouri-St. Louis,Alexander,Haering,Rheinisch-Westfaelisches Institut fuer Wirtschaftsforschung Essen,Sven,Horak,St. John's University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo Q.,Romero,Universidade Estadual de Campinas,Thiago,Gonçalves-Souza,Universidade Federal Rural de Pernambuco,Tomas,Roslin,Sveriges lantbruksuniversitet,Robert J,Marquis,"University of Missouri-St. Louis, Department of Biology",Nicholas A.C.,Marino,Universidade Federal do Rio de Janeiro,Vojtech,Novotny,"Institute of Entomology, Biology Centre of the Academy of Sciences of the Czech Republic",Tatiana,Cornelissen,Universidade Federal de Minas Gerais,Jerome,Orivel,Université de Guyane,Shen,Sui,New Guinea Binatang Research Centre,Gustavo,Aires,Universidade Federal Rural de Pernambuco,Reuber,Antoniazzi,Stephen F. Austin State University,Wesley,Dáttilo,"Instituto de Ecología, A.C.",Crasso P  B,Breviglieri,Universidade Estadual de Campinas,Annika,Busse,Nationalpark Bayerischer Wald,Heloise,Gibb,La Trobe University,Thiago J.,Izzo,Universidade Federal de Mato Grosso,Tomas,Kadlec,Czech University of Life Sciences Prague,Victoria,Kemp,Queen Mary University of London,Monica,Kersch-Becker,Pennsylvania State University,Michal,Knapp,Czech University of Life Sciences Prague,Pavel,Kratina,Queen Mary University of London,Rebecca,Luke,"Royal Holloway, University of London",Stefan,Majnarić,"Sveučilište u Zagrebu, Prirodoslovno - matematički fakultet",Robin,Maritz,University of the Western Cape,Paulo,Mateus Martins,Universidade Federal Rural de Pernambuco,Esayas,Mendesil,Jimma University,Jaroslav,Michalko,Slovak University of Agriculture in Nitra,Anna,Mrazova,"Institute of Entomology, Biology Centre of the Academy of Sciences of the Czech Republic",Samuel,Novais,"Instituto de Ecología, A.C.",Cássio C.,Pereira,Universidade Federal de Minas Gerais
Ivan,Indriawan,"Faculty of Business, Economics and Law",Feng,Jiao,Dhillon School of Business,Yiuman,Tse,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wei,Guo,University of International Business and Economics,Qingfu,Liu,Fudan University,Zhidan,Luo,Zhuhai Fudan Innovation Institute,Yiuman,Tse,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janise S.,Parker,William & Mary,Natoya,Haskins,William & Mary,Antony,Clemons,William & Mary,Erin,McClure,University of Missouri-St. Louis,Jessica,Washington,William & Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip L.,Waalkes,University of Missouri-St. Louis,Daniel P.,Hall,University of Lynchburg,Jaimie Stickl,Haugen,St. Bonaventure University,Paula J.,Swindle,Lenoir-Rhyne University,Jiaying J.,Meyer,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li Hsun,Wang,Wenzao Ursuline University of Languages,Hung Gay,Fung,College of Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley,Salaiz,The University of Tampa,Klavdia Markelova,Evans,The University of Tampa,Carla D.,Jones,The University of Tampa,Seemantini,Pathak,The University of Tampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jintong,Tang,St. Louis University,Zhi,Tang,Saunders College of Business,Shaji A.,Khan,College of Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse J.,Helton,St. Louis University,Erik J.,Nelson,Indiana University Bloomington,Brian B.,Boutwell,St. Louis University,Roger D.,Lewis,St. Louis University,Richard,Rosenfeld,University of Missouri-St. Louis,Jisuk,Seon,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shih chi Sana,Chiu,C. T. Bauer College of Business,Seemantini,Pathak,University of Missouri-St. Louis,Robert E.,Hoskisson,Jones Graduate School of Business,Richard A.,Johnson,Trulaske College of Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganesh,Shrestha,University of Missouri-St. Louis,Matteo,Panza,University of Missouri-St. Louis,Yashapal,Singh,University of Missouri-St. Louis,Keith J.,Stine,University of Missouri-St. Louis,Alexei V.,Demchenko,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura P.,Lagomarsino,Louisiana State University,Lauren,Frankel,University of Wisconsin-Madison,Simon,Uribe-Convers,"University of Missouri-St. Louis, Department of Biology",Alexandre,Antonelli,"Royal Botanic Gardens, Kew",Nathan,Muchhala,"University of Missouri-St. Louis, Department of Biology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santosh Kumar,Dubey,Kurukshetra University,Sunita,Khatkar,Kurukshetra University,Manoj,Trivedi,Sri Venkateswara College,Shikha,Gulati,Sri Venkateswara College,Sanjay,Kumar,Sri Venkateswara College,Nigam P.,Rath,University of Missouri-St. Louis,Satish,Kumar,Kurukshetra University,Raman,Lakhia,Kurukshetra University,Neera,Ragav,Kurukshetra University,Sumanjeet,Kaur,Sri Guru Tegh Bahadur Khalsa College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuaibing,Yao,"University of Missouri-St. Louis, Department of Biology",Geliang,Wang,"University of Missouri-St. Louis, Department of Biology",Xuemin,Wang,"University of Missouri-St. Louis, Department of Biology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chun Wei,Lu,,Jou Kou,Wang,,Hsiao Ling,Yang,National Taiwan University Hospital,Adrienne H.,Kovacs,Peter Munk Cardiac Centre,Koen,Luyckx,KU Leuven School Psychology and Development in Context,Francisco Javier,Ruperti-Repilado,University Hospital Bern,Alexander,Van De Bruaene,KU Leuven Department of Cardiovascular Sciences,Junko,Enomoto,Toyo University,Maayke A.,Sluman,Universiteit van Amsterdam,Jamie L.,Jackson,Nationwide Children’s Hospital,Paul,Khairy,Institut de Cardiologie de Montreal,Stephen C.,Cook,Indiana University Health,Shanthi,Chidambarathanu,Frontier Lifeline Hospital (Dr. K. M. Cherian Heart Foundation),Luis,Alday,Hospital de Niños,Erwin,Oechslin,Peter Munk Cardiac Centre,Katrine,Eriksen,Rikshospitalet-Radiumhospitalet HF,Mikael,Dellborg,Sahlgrenska Universitetssjukhuset,Malin,Berghammer,Högskolan Väst,Bengt,Johansson,Umeå Universitet,Andrew S.,Mackie,University of Alberta,Samuel,Menahem,Monash University,Maryanne,Caruana,Mater Dei Hospital,Gruschen,Veldtman,Cincinnati Children's Hospital Medical Center,Alexandra,Soufi,Médipôle Lyon-Villeurbanne,Susan M.,Fernandes,Stanford Healthcare,Kamila,White,Washington University in St. Louis,Edward,Callus,Gruppo Ospedaliero San Donato,Shelby,Kutty,University of Nebraska Omaha,Silke,Apers,KU Leuven Department of Public Health and Primary Care,Philip,Moons,KU Leuven Department of Public Health and Primary Care
Holly C.,Mathis,"Barnes-Jewish College, Goldfarb School of Nursing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,Burkert,University of Fribourg,Thomas G.,Calderon,University of Akron,James W.,Hesford,College of Business Administration,Michael J.,Turner,The University of Queensland Business School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney F.,Carmack,Arkansas State University,Stephen R.,Moehrle,College of Business Administration,Jared,Moon,BYU Marriott School of Business,David A.,Wood,BYU Marriott School of Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingbo,Zhang,Virginia Commonwealth University,Peter F.,Stevens,"University of Missouri-St. Louis, Department of Biology",Wenheng,Zhang,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hieu Sy,Vu,Kansas State University,Sunitha,Shiva,Kansas State University,Thilani,Samarakoon,Kansas State University,Maoyin,Li,Donald Danforth Plant Science Center,Sujon,Sarowar,University of North Texas,Mary R.,Roth,Kansas State University,Pamela,Tamura,Kansas State University,Samuel,Honey,Kansas State University,Kaleb,Lowe,Kansas State University,Hollie,Porras,Kansas State University,Neema,Prakash,Kansas State University,Charles A.,Roach,Kansas State University,Morgan,Stuke,Kansas State University,Xuemin,Wang,Donald Danforth Plant Science Center,Jyoti,Shah,University of North Texas,Gary,Gadbury,Kansas State University,Haiyan,Wang,Kansas State University,Ruth,Welti,Kansas State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph,Parks,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qiuyi,Yang,Chiang Mai University,Penkarn,Kanjanarat,Chiang Mai University,Tinakon,Wongpakaran,Chiang Mai University,Chidchanok,Ruengorn,Chiang Mai University,Ratanaporn,Awiphan,Chiang Mai University,Surapon,Nochaiwong,Chiang Mai University,Nahathai,Wongpakaran,Chiang Mai University,Danny,Wedding,Chiang Mai University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle,Glans,Washington University in St. Louis,Sarah A.,Cooley,Washington University in St. Louis,Florin,Vaida,"University of California, San Diego",Anna,Boerwinkle,Washington University in St. Louis,Dimitre,Tomov,Washington University in St. Louis,Kalen J.,Petersen,Washington University in St. Louis,Alexander,Rosenow,Washington University in St. Louis,Robert H.,Paul,University of Missouri-St. Louis,Beau M.,Ances,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra J.E.,Langeslag,University of Missouri-St. Louis,Lauri L.,Davis,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaldoon,Dhou,Texas A&M University,Christopher,Cruzen,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penghua,Qiao,Kunming University of Science and Technology,Anna,Fung,Kogod School of Business,Hung Gay,Fung,College of Business Administration,Xinnian,Ma,Kunming University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aihua,Yan,"City University of Hong Kong, College of Business",Li,Li,South China University of Technology,Jianping,Lv,South China University of Technology,Dinesh A.,Mirchandani,College of Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shih Chi (Sana),Chiu,C. T. Bauer College of Business,Seemantini,Pathak,University of Missouri-St. Louis,Azadeh,Sabz,C. T. Bauer College of Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanying,Zhang,Shanxi University of Finance and EcoNomics,Yiuman,Tse,University of Missouri-St. Louis,Gaiyan,Zhang,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandra E.,Khalifian,VA San Diego Healthcare System,Feea R.,Leifker,The University of Utah,Kayla,Knopp,VA San Diego Healthcare System,Chelsey R.,Wilks,University of Missouri-St. Louis,Colin,Depp,VA San Diego Healthcare System,Shirley,Glynn,UCLA Health Sciences,Craig,Bryan,The Ohio State University College of Medicine,Leslie A.,Morland,VA San Diego Healthcare System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigid R.,Marriott,University of Missouri,Evelyn,Cho,University of Missouri,Siena K.,Tugendrajch,University of Missouri,Matthew D.,Kliethermes,University of Missouri-St. Louis,J. Curtis,McMillen,The University of Chicago School of Social Service Administration,Enola K.,Proctor,"Washington University in St. Louis, George Warren Brown School of Social Work",Kristin M.,Hawley,University of Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yan,Tian,University of Missouri-St. Louis,Jina H.,Yoo,University of Missouri-St. Louis,Hui,Zhou,The University of Auckland Business School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine B.,Fortier,Education and Clinical Center,Brigitta M.,Beck,Education and Clinical Center,Kimberly B.,Werner,University of Missouri-St. Louis,Katherine M.,Iverson,National Center for Ptsd,Sahra,Kim,Education and Clinical Center,Alyssa,Currao,Education and Clinical Center,Jennifer R.,Fonda,Boston University School of Medicine,Tara E.,Galovski,National Center for Ptsd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qingfu,Liu,Fudan University,Zhenyi,Tao,Fudan University,Yiuman,Tse,University of Missouri-St. Louis,Chuanjie,Wang,Fudan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriela Guadalupe,Aliaga-Samanez,Universidad Nacional Mayor de San Marcos,Jesús,Lescano,Universidad Nacional Mayor de San Marcos,Miryam Jeanette,Quevedo Urday,Universidad Nacional Mayor de San Marcos,Guillermo Santos,Salvatierra Rodríguez,Universidad Nacional Mayor de San Marcos,Mrinalini,Erkenswick Watsa,San Diego Zoo Wildlife Alliance,John Edwin,Calderon Escalante,"Instituto Nacional de Salud, Lima",Gideon A.,Erkenswick,Washington University School of Medicine in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy,McCuddy,University of Memphis,Finn Aage,Esbensen,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherrell,Green,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron,Roussell,Portland State University,Lori,Sexton,University of Missouri-Kansas City,Paul,Deppen,Portland State University,Marisa,Omori,University of Missouri-St. Louis,Esther,Scheibler,University of Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica,Koegler,University of Missouri-St. Louis,Claire,Wood,Missouri Institute of Mental Health,Lilly,Bahlinger,University of Missouri-St. Louis,Sharon D.,Johnson,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collin B.,Kilgore,Washington University in St. Louis,Jeremy F.,Strain,Washington University in St. Louis,Brittany,Nelson,Washington University in St. Louis,Sarah A.,Cooley,Washington University in St. Louis,Alexander,Rosenow,Washington University in St. Louis,Michelle,Glans,Washington University in St. Louis,William Todd,Cade,Duke University,Dominic N.,Reeds,Washington University School of Medicine in St. Louis,Robert H.,Paul,University of Missouri-St. Louis,Beau M.,Ances,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gualtiero,Piccinini,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronaldo,Parente,Florida International University,Janet Y.,Murray,University of Missouri-St. Louis,Yue,Zhao,University of Arkansas at Little Rock,Masaaki,Kotabe,Fox School of Business,Ricardo,Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. Kristl,Davison,Appalachian State University,Phillip W.,Braddy,Center for Creative Leadership,John P.,Meriac,University of Missouri-St. Louis,Robert,Gigliotti,Saint Anselm College,Daniel J.,Detwiler,University of Memphis,Mark N.,Bing,University of Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheila,Barnhart,University of Kentucky,Molly,Bode,University of Kentucky,Michael C.,Gearhart,University of Missouri-St. Louis,Kathryn,Maguire-Jack,"University of Michigan, Ann Arbor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Beth,Miller,University of Missouri,Ryan W.,Carpenter,University of Missouri-St. Louis,Lindsey K.,Freeman,University of Missouri,Ashley F.,Curtis,University of Missouri,Ali M.,Yurasek,University of Florida,Christina S.,McCrae,University of Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gualtiero,Piccinini,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nell,Norman-Nott,Neuroscience Research Australia,Chelsey R.,Wilks,University of Missouri-St. Louis,Negin,Hesam-Shariati,Neuroscience Research Australia,Jessica,Schroeder,University of Washington,Jina,Suh,University of Washington,Mary,Czerwinski,Microsoft Research,Nancy E.,Briggs,UNSW Sydney,Yann,Quidé,Neuroscience Research Australia,James,McAuley,Neuroscience Research Australia,Sylvia M.,Gustin,Neuroscience Research Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah L.,Shoemaker,Medical University of South Carolina,Kathryn H.,Howell,University of Memphis,Lacy E.,Jamison,University of Memphis,Hannah E.,Walker,University of Missouri-St. Louis,Rachel,Wamser-Nanney,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxanne,Reid,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo J.,Wray,St. Louis University,Shannon E.,Nicks,Dayton Children's Hospital,Prajakta,Adsul,The University of New Mexico,Michael,Elliot,St. Louis University,Kimberly,Enard,St. Louis University,Keri,Jupka,University of Missouri-St. Louis,Anna K.,Trainer,Simply Strategy,Natasha,Hansen,National Cancer Institute (NCI),Mellve,Shahid,The Empowerment Network,Robin,Wright-Jones,The Empowerment Network,Sameer,Siddiqui,St. Louis University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel,Wamser-Nanney,University of Missouri-St. Louis,Claudia L.,Campbell,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel A.,Zárate-Rendón,Universidad Nacional Agraria La Molina,Michelle N.,Salazar-Espinoza,Universidad Nacional Agraria La Molina,Stefano,Catalano,Moredun Research Institute,Caroline,Sobotyk,Texas A&M College of Veterinary Medicine & Biomedical Sciences,Ana Patricia,Mendoza,"University of Missouri-St. Louis, Department of Biology",Marieke,Rosenbaum,Cummings School of Veterinary Medicine,Guilherme,Verocai,Texas A&M College of Veterinary Medicine & Biomedical Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shao peng,Li,East China Normal University,Pu,Jia,South China Normal University,Shu ya,Fan,East China Normal University,Yingtong,Wu,"University of Missouri-St. Louis, Department of Biology",Xiang,Liu,Lanzhou University,Yani,Meng,East China Normal University,Yue,Li,East China Normal University,Wen sheng,Shu,South China Normal University,Jin tian,Li,South China Normal University,Lin,Jiang,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel,Wamser-Nanney,University of Missouri-St. Louis,Claudia L.,Campbell,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin W.,Berkowitz,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian,Sichling,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily C.,Brown,University of Missouri-St. Louis,Agata,Freedle,University of Missouri-St. Louis,Nicole L.,Hurless,University of Missouri-St. Louis,Rebecca D.,Miller,University of Missouri-St. Louis,Claire,Martin,University of Missouri-St. Louis,Zori A.,Paul,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel,Wamser-Nanney,University of Missouri-St. Louis,Julia C.,Sager,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica,Koegler,University of Missouri-St. Louis,Whitney,Howland,International Institute,Patric,Gibbons,Harvard Medical School,Michelle,Teti,University of Missouri,Hanni,Stoklosa,Harvard Medical School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
